Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
ast-pat-001,1991-05-17,,999-91-0001,S99100001,X99100001X,Ms.,Amelia,Grant,,,S,white,nonhispanic,F,Cambridge Massachusetts US,11 Example Street,Cambridge,Massachusetts,Middlesex County,02139,42.254,-71.197,2140.75,1425.30
ast-pat-002,2014-09-03,,999-91-0002,,,Miss,Lily,Brooks,,,S,white,nonhispanic,F,Newton Massachusetts US,12 Example Street,Newton,Massachusetts,Middlesex County,02459,42.258,-71.194,3081.50,1950.60
ast-pat-003,1978-01-22,,999-91-0003,S99100003,X99100003X,Mr.,Daniel,Price,,,M,black,nonhispanic,M,Boston Massachusetts US,13 Example Street,Boston,Massachusetts,Middlesex County,02119,42.262,-71.191,4022.25,2475.90
ast-pat-004,2001-11-28,,999-91-0004,S99100004,X99100004X,Ms.,Nora,Patel,,,S,asian,nonhispanic,F,Quincy Massachusetts US,14 Example Street,Quincy,Massachusetts,Middlesex County,02169,42.266,-71.188,4963.00,3001.20
ast-pat-005,1959-06-12,,999-91-0005,S99100005,X99100005X,Mr.,Thomas,Mercer,,,S,white,nonhispanic,M,Worcester Massachusetts US,15 Example Street,Worcester,Massachusetts,Middlesex County,01608,42.27,-71.185,5903.75,3526.50
ast-pat-006,2019-02-14,,999-91-0006,,,Master,Ethan,Cole,,,M,white,hispanic,M,Somerville Massachusetts US,16 Example Street,Somerville,Massachusetts,Middlesex County,02143,42.274,-71.182,6844.50,4051.80
ast-pat-007,1988-03-05,,999-91-0007,S99100007,X99100007X,Ms.,Grace,Kim,,,S,asian,nonhispanic,F,Brookline Massachusetts US,17 Example Street,Brookline,Massachusetts,Middlesex County,02445,42.278,-71.179,7785.25,4577.10
ast-pat-008,1967-12-30,,999-91-0008,S99100008,X99100008X,Mrs.,Helen,Rivera,,Santos,S,hispanic,hispanic,F,Lawrence Massachusetts US,18 Example Street,Lawrence,Massachusetts,Middlesex County,01840,42.282,-71.176,8726.00,5102.40
ast-pat-009,2009-07-19,,999-91-0009,,,Mr.,Mason,Okafor,,,M,black,nonhispanic,M,Malden Massachusetts US,19 Example Street,Malden,Massachusetts,Middlesex County,02148,42.286,-71.173,9666.75,5627.70
ast-pat-010,1996-10-02,,999-91-0010,S99100010,X99100010X,Ms.,Sofia,Nguyen,,,S,asian,nonhispanic,F,Lowell Massachusetts US,20 Example Street,Lowell,Massachusetts,Middlesex County,01852,42.29,-71.17,10607.50,6153.00
ast-pat-011,1948-04-08,,999-91-0011,S99100011,X99100011X,Mr.,Arthur,Walsh,,,S,white,nonhispanic,M,Salem Massachusetts US,21 Example Street,Salem,Massachusetts,Middlesex County,01970,42.294,-71.167,11548.25,6678.30
ast-pat-012,1983-08-25,,999-91-0012,S99100012,X99100012X,Dr.,Priya,Menon,,,M,asian,nonhispanic,F,Framingham Massachusetts US,22 Example Street,Framingham,Massachusetts,Middlesex County,01702,42.298,-71.164,12489.00,7203.60
ast-pat-013,1999-12-11,,999-91-0013,S99100013,X99100013X,Mr.,Caleb,Stone,,,S,white,nonhispanic,M,Cambridge Massachusetts US,23 Example Street,Cambridge,Massachusetts,Middlesex County,02141,42.302,-71.161,13429.75,7728.90
ast-pat-014,1971-07-06,,999-91-0014,S99100014,X99100014X,Mrs.,Marta,Silva,,Costa,S,white,hispanic,F,Everett Massachusetts US,24 Example Street,Everett,Massachusetts,Middlesex County,02149,42.306,-71.158,14370.50,8254.20
ast-pat-015,2011-04-30,,999-91-0015,,,Miss,Ava,Johnson,,,M,black,nonhispanic,F,Boston Massachusetts US,25 Example Street,Boston,Massachusetts,Middlesex County,02120,42.31,-71.155,15311.25,8779.50
ast-pat-016,1985-02-18,,999-91-0016,S99100016,X99100016X,Mr.,Noah,Bennett,,,S,white,nonhispanic,M,Arlington Massachusetts US,26 Example Street,Arlington,Massachusetts,Middlesex County,02474,42.314,-71.152,16252.00,9304.80
ast-pat-017,1994-06-09,,999-91-0017,S99100017,X99100017X,Mx.,Riley,Morgan,,,S,white,nonhispanic,X,Cambridge Massachusetts US,27 Example Street,Cambridge,Massachusetts,Middlesex County,02140,42.318,-71.149,17192.75,9830.10
ast-pat-018,1963-09-27,,999-91-0018,S99100018,X99100018X,Mrs.,Janet,Foster,,,M,white,nonhispanic,F,Medford Massachusetts US,28 Example Street,Medford,Massachusetts,Middlesex County,02155,42.322,-71.146,18133.50,10355.40
ast-pat-019,2007-01-15,,999-91-0019,S99100019,X99100019X,Mr.,Owen,Murphy,,,S,white,nonhispanic,M,Somerville Massachusetts US,29 Example Street,Somerville,Massachusetts,Middlesex County,02144,42.326,-71.143,19074.25,10880.70
ast-pat-020,1992-05-21,,999-91-0020,S99100020,X99100020X,Ms.,Aisha,Khan,,,S,asian,nonhispanic,F,Cambridge Massachusetts US,30 Example Street,Cambridge,Massachusetts,Middlesex County,02139,42.33,-71.14,20015.00,11406.00
ast-pat-021,1980-03-03,,999-91-0021,S99100021,X99100021X,Mr.,Ben,Harris,,,M,white,nonhispanic,M,Watertown Massachusetts US,31 Example Street,Watertown,Massachusetts,Middlesex County,02472,42.334,-71.137,20955.75,11931.30
ast-pat-022,2016-12-02,,999-91-0022,,,Miss,Chloe,Evans,,,S,white,nonhispanic,F,Cambridge Massachusetts US,32 Example Street,Cambridge,Massachusetts,Middlesex County,02138,42.338,-71.134,21896.50,12456.60
ast-pat-023,1976-10-19,,999-91-0023,S99100023,X99100023X,Mr.,Miguel,Ortega,,,S,white,hispanic,M,Chelsea Massachusetts US,33 Example Street,Chelsea,Massachusetts,Middlesex County,02150,42.342,-71.131,22837.25,12981.90
ast-pat-024,2003-08-08,,999-91-0024,S99100024,X99100024X,Ms.,Emily,Turner,,,M,white,nonhispanic,F,Somerville Massachusetts US,34 Example Street,Somerville,Massachusetts,Middlesex County,02145,42.346,-71.128,23778.00,13507.20
ast-pat-025,1970-11-11,,999-91-0025,S99100025,X99100025X,Mr.,Graham,Mills,,,S,white,nonhispanic,M,Cambridge Massachusetts US,35 Example Street,Cambridge,Massachusetts,Middlesex County,02139,42.35,-71.125,24718.75,14032.50
ast-pat-026,1989-04-14,,999-91-0026,S99100026,X99100026X,Ms.,Leah,Dawson,,,S,white,nonhispanic,F,Cambridge Massachusetts US,36 Example Street,Cambridge,Massachusetts,Middlesex County,02139,42.354,-71.122,25659.50,14557.80
